ClubLogRank,Entity,UKDesirability,DesirabilityBand,UKRegionBand,Notes
1,DPRK (NORTH KOREA),100,Extreme,Extreme rare Asia,Top-tier rare/difficult entity
2,JOHNSTON ISLAND,99,Extreme,Pacific rare,Very rare Pacific entity
3,KURE ISLAND,99,Extreme,Pacific rare,Very rare Pacific entity
4,SAN FELIX ISLANDS,99,Extreme,Pacific/South America rare,Rare remote island entity
5,KERGUELEN ISLAND,99,Extreme,Island/remote,"Island entity; starter score, review manually"
6,SCARBOROUGH REEF,99,Extreme,Asia/Pacific rare,Very rare/restricted entity
7,PETER 1 ISLAND,99,Extreme,Island/remote,"Island entity; starter score, review manually"
8,AVES ISLAND,99,Extreme,Caribbean rare,Rare Caribbean island entity
9,PRATAS ISLAND,99,Extreme,Asia/Pacific rare,Remote/rare entity
10,MIDWAY ISLAND,99,Extreme,Pacific rare,Very rare Pacific entity
11,MACQUARIE ISLAND,98,Extreme,Oceania rare,Very remote/rare entity
12,TURKMENISTAN,97,Extreme,Central Asia rare,Very low-activity/rare entity
13,SAINT PETER AND PAUL ROCKS,97,Extreme,Atlantic rare,Rare remote Atlantic entity
14,SOUTH SANDWICH ISLANDS,97,Extreme,South Atlantic rare,Remote expedition-type entity
15,SYRIA,97,Extreme,Middle East difficult,Difficult/low activity entity
16,NEW ZEALAND SUBANTARCTIC ISLANDS,98,Extreme,Oceania rare,Very remote/rare entity
17,TROMELIN ISLAND,97,Extreme,Indian Ocean rare,Rare remote entity
18,HEARD ISLAND,97,Extreme,Island/remote,"Island entity; starter score, review manually"
19,BAKER HOWLAND ISLANDS,98,Extreme,Pacific rare,Very rare Pacific entity
20,CHESTERFIELD ISLANDS,98,Extreme,Pacific rare,Very rare remote entity
21,REVILLAGIGEDO,97,Extreme,Pacific/Mexico remote,Remote island entity
22,KERMADEC ISLAND,97,Extreme,Island/remote,"Island entity; starter score, review manually"
23,SOUTH GEORGIA ISLAND,97,Extreme,South Atlantic rare,Remote expedition-type entity
24,PRINCE EDWARD & MARION ISLANDS,97,Extreme,Island/remote,"Island entity; starter score, review manually"
25,CROZET ISLAND,97,Extreme,Island/remote,"Island entity; starter score, review manually"
26,MELLISH REEF,98,Extreme,Pacific rare,Very rare remote entity
27,"JUAN DE NOVA, EUROPA",94,Very High,Indian Ocean rare,Rare remote entity
28,NAVASSA ISLAND,96,Extreme,Caribbean rare,Very rare Caribbean entity
29,TRINDADE & MARTIM VAZ ISLANDS,94,Very High,Atlantic rare,Rare remote Atlantic entity
30,MINAMI TORISHIMA,94,Very High,Pacific/Japan rare,Rare remote island entity
31,MALPELO ISLAND,96,Extreme,Pacific/South America rare,Rare remote island entity
32,MOUNT ATHOS,94,Very High,Unclassified,Starter score from Club Log rank band; manually review
33,COCOS ISLAND,94,Very High,Pacific/Central America remote,Remote island entity
34,WAKE ISLAND,96,Extreme,Pacific rare,Remote Pacific entity
35,AMSTERDAM & ST PAUL ISLANDS,94,Very High,Island/remote,"Island entity; starter score, review manually"
36,WILLIS ISLAND,96,Extreme,Pacific rare,Rare remote entity
37,GLORIOSO ISLAND,94,Very High,Indian Ocean rare,Rare remote entity
38,BOUVET ISLAND,99,Extreme,Extreme remote,Top-tier remote entity
39,SOUTH ORKNEY ISLANDS,94,Very High,Antarctic/remote,Remote polar entity
40,TOKELAU ISLANDS,96,Extreme,Oceania rare,Remote Pacific entity
41,MYANMAR,94,Very High,SE Asia less common,Less active/difficult SE Asia
42,ANNOBON,94,Very High,African island,Island DXCC; less common
